Point No,LED1,LED2,LED3,LED4,LED5
1,367.69952558897,1032.91124751652,319.753880611646
2,729.730960940027,678.555330890848,366.279171400501
3,1103.8660035977,345.079097670109,334.592662914284
4,434.403629575489,948.982703029001,401.272157756814
5,1007.15286916581,423.446165339949,415.814182903023
6,506.352417262362,838.451783358496,487.532398910987
7,888.331283723198,495.340871145433,496.500773710591
8,566.709253752546,725.802416133739,579.83681304128
9,764.413807965568,547.495378654272,570.91576557425
10,608.757507376049,606.648468849575,663.114457145709
11,568.084622618647,552.873327716394,750.629294102823
12,496.176080806112,481.877241229828,842.266305337273
13,432.435319355886,423.647260288705,905.266052073199
14,373.038689731064,362.244180440784,957.135974132575
